id,style,noise_level,pure_lattice,sparse_landmarks,seed,pred_x,pred_y,true_x,true_y,error_px,runtime_ms,confidence,psr,peak_margin,ambiguous,ambig_x,ambig_y,n_candidates,centre_rule_applied,theta_deg,scale,drift_px,source
pair_0001,dram,low,False,False,42,572.974097997494,384.0883768078176,573.0275,384.0805,0.05397979226569247,455.0652500001888,0.8291987180709839,3.9936978816986084,1.0,False,False,False,2,False,-1.93631,0.971435,137.005,import
pair_0002,dram,low,False,False,42,542.3801066348735,577.2813127847069,542.4033,577.2934,0.026154023771310105,348.0862079995859,0.9301097989082336,3.8361833095550537,1.0,False,False,False,1,False,1.40534,0.992523,88.161,import
pair_0003,dram,low,False,False,42,701.5955273621573,438.4487807569417,701.5831,438.3854,0.06458761243993652,357.75583299982827,0.942287027835846,3.9761648178100586,1.0,False,False,False,1,False,-1.00043,1.000382,210.789,import
pair_0004,dram,low,False,False,42,540.2464797130053,502.4593450925794,540.2006,502.5437,0.09602446808700144,421.94991699943785,0.9376442432403564,3.4241738319396973,1.0,False,False,False,1,False,-1.11889,0.976763,40.281,import
pair_0005,dram,low,False,False,42,499.41701840353767,480.8748495527537,499.3634,480.8961,0.05767594564543089,348.81775000030757,0.8912322521209717,3.950597047805786,1.0,False,False,False,1,False,0.42469,0.990057,19.115,import
pair_0006,dram,low,False,False,42,804.1618872642053,539.2847105400817,804.0496,539.3429,0.1264691383234945,350.6935000004887,0.9113520979881287,5.1833271980285645,1.0,False,False,False,1,False,1.60359,0.994514,306.584,import
pair_0007,dram,low,False,False,42,539.1662280002486,568.8124301491958,539.1626,568.7785,0.034123560925781726,422.69191599916667,0.8693991303443909,3.7832133769989014,0.5027709142252029,False,False,False,5,False,-1.27017,0.975481,79.147,import
pair_0008,dram,low,False,False,42,560.088067840711,503.607006488205,560.0617,503.711,0.10728426501226267,382.45166599881486,0.9431182146072388,3.8484370708465576,1.0,False,False,False,1,False,0.63088,0.993663,60.176,import
pair_0009,dram,low,False,False,42,517.2288086558322,496.58410259729686,517.169,496.5887,0.05998509334881516,364.58391699852655,0.9203611612319946,2.86312198638916,1.0,False,False,False,2,False,0.78302,1.024642,17.505,import
pair_0010,dram,low,False,False,42,439.1056199245886,433.37891323381746,439.13,433.353,0.035579260306288295,381.40808399839443,0.8383146524429321,4.067409992218018,1.0,False,False,False,2,False,0.19551,0.986052,90.261,import
